model,validation,outer_fold,selection_scope,candidate,selection_metric,score,parameters,status,error
qda,group_k_fold,1,outer_training_fold,1,f1_macro,1.0,"{""reg_param"": 0.1}",completed,
qda,group_k_fold,1,outer_training_fold,2,f1_macro,1.0,"{""reg_param"": 0.5}",completed,
qda,group_k_fold,2,outer_training_fold,1,f1_macro,1.0,"{""reg_param"": 0.1}",completed,
qda,group_k_fold,2,outer_training_fold,2,f1_macro,1.0,"{""reg_param"": 0.5}",completed,
qda,group_k_fold,3,outer_training_fold,1,f1_macro,1.0,"{""reg_param"": 0.1}",completed,
qda,group_k_fold,3,outer_training_fold,2,f1_macro,1.0,"{""reg_param"": 0.5}",completed,
qda,group_k_fold,0,final_full_data,1,f1_macro,1.0,"{""reg_param"": 0.1}",completed,
qda,group_k_fold,0,final_full_data,2,f1_macro,1.0,"{""reg_param"": 0.5}",completed,
