rank,model,validation,selection_metric,selection_score,status,error,r2,mae,rmse
1,linear_regression,holdout,rmse,0.4855869148534085,completed,,0.9579102363354475,0.4305215635849535,0.4855869148534085
2,ridge,holdout,rmse,0.5214662558159717,completed,,0.9514605381079226,0.4550279147008653,0.5214662558159717
3,mlp,holdout,rmse,0.6067822876350959,completed,,0.9342783699238326,0.49654299792987205,0.6067822876350959
4,decision_tree,holdout,rmse,0.6312728959544095,completed,,0.9288660667968981,0.46169166666666667,0.6312728959544095
5,gradient_boosting,holdout,rmse,0.641255213478317,completed,,0.926598598095015,0.48196241012624214,0.641255213478317
6,random_forest,holdout,rmse,0.6487240944380739,completed,,0.9248787867152459,0.5133463333333332,0.6487240944380739
7,knn,holdout,rmse,1.0136688475861666,completed,,0.8165850480873158,0.7323283333333334,1.0136688475861666
8,svr,holdout,rmse,1.3854320512530942,completed,,0.6573797735040496,0.8806942150811655,1.3854320512530942
9,lasso,holdout,rmse,1.4279591867117718,completed,,0.6360228448064174,1.1631233811758885,1.4279591867117718
10,elastic_net,holdout,rmse,1.4721329186051348,completed,,0.6131553589743491,1.1979445333941716,1.4721329186051348
11,dummy,holdout,rmse,2.461428058220421,completed,,-0.08147586144448904,1.9721939814814815,2.461428058220421
1,ridge,k_fold,rmse,0.4639096301407448,completed,,0.955116621014788,0.3866927035559062,0.4639096301407448
2,linear_regression,k_fold,rmse,0.4710043657929271,completed,,0.9541972792176813,0.40012787851914505,0.4710043657929271
3,mlp,k_fold,rmse,0.4717188315629346,completed,,0.9524937923588569,0.38899677953263484,0.4717188315629346
4,random_forest,k_fold,rmse,0.6180366285275036,completed,,0.912805499281054,0.49783987499999977,0.6180366285275036
5,gradient_boosting,k_fold,rmse,0.6976747471372104,completed,,0.8894066162803592,0.5824338913215042,0.6976747471372104
6,decision_tree,k_fold,rmse,0.7374048081918945,completed,,0.8782168131790661,0.5960187499999999,0.7374048081918945
7,knn,k_fold,rmse,0.9640197609108204,completed,,0.8033972035913118,0.7545691666666667,0.9640197609108204
8,svr,k_fold,rmse,1.0910125815921772,completed,,0.7583964892895477,0.7403122629600755,1.0910125815921772
9,lasso,k_fold,rmse,1.2257265643724053,completed,,0.6960736189047907,1.0446710150894198,1.2257265643724053
10,elastic_net,k_fold,rmse,1.2622261646257664,completed,,0.6750562146775246,1.0737463010416024,1.2622261646257664
11,dummy,k_fold,rmse,2.2062286653304493,completed,,-0.009090936229005845,1.856706640625,2.2062286653304493
1,linear_regression,group_k_fold,rmse,0.4447757069269472,completed,,0.9532319058872628,0.37001147927588357,0.4447757069269472
2,ridge,group_k_fold,rmse,0.4556935681174168,completed,,0.9510838302565537,0.3790493221377953,0.4556935681174168
3,mlp,group_k_fold,rmse,0.4711342569694743,completed,,0.949566767155494,0.3812409339345862,0.4711342569694743
4,random_forest,group_k_fold,rmse,0.5815878784220455,completed,,0.9240091921613148,0.46161681249999975,0.5815878784220455
5,gradient_boosting,group_k_fold,rmse,0.7162671463052614,completed,,0.8851471942044237,0.5734215266336262,0.7162671463052614
6,decision_tree,group_k_fold,rmse,0.822882473254173,completed,,0.8473348934952649,0.64970625,0.822882473254173
7,knn,group_k_fold,rmse,0.9167687662671041,completed,,0.808832785695481,0.7104929166666666,0.9167687662671041
8,svr,group_k_fold,rmse,1.1312689993937317,completed,,0.703429032966515,0.7600517697358521,1.1312689993937317
9,lasso,group_k_fold,rmse,1.2814461025358517,completed,,0.623828917041034,1.0647631984938326,1.2814461025358517
10,elastic_net,group_k_fold,rmse,1.3420102188105603,completed,,0.5868891493562368,1.115666626102543,1.3420102188105603
11,dummy,group_k_fold,rmse,2.3803595491425966,completed,,-0.3032186519530136,1.962278776041667,2.3803595491425966
1,linear_regression,leave_one_group_out,rmse,0.4212108970479745,completed,,0.9389232841195985,0.3621926136036897,0.4212108970479745
2,ridge,leave_one_group_out,rmse,0.42247151555797063,completed,,0.9389585390120484,0.36741256213271317,0.42247151555797063
3,mlp,leave_one_group_out,rmse,0.44743363105516315,completed,,0.9358266688037058,0.39356166335678244,0.44743363105516315
4,random_forest,leave_one_group_out,rmse,0.5944404765074546,completed,,0.8782014682668972,0.5028732083333333,0.5944404765074546
5,gradient_boosting,leave_one_group_out,rmse,0.6359180912221027,completed,,0.8504243147111366,0.5379844074399694,0.6359180912221027
6,decision_tree,leave_one_group_out,rmse,0.6603661390143905,completed,,0.8267960139027776,0.5574708333333334,0.6603661390143905
7,knn,leave_one_group_out,rmse,0.676146128407089,completed,,0.8526639128320919,0.5469704166666666,0.676146128407089
8,svr,leave_one_group_out,rmse,0.8664083288482138,completed,,0.7052718145325622,0.6767965355579827,0.8664083288482138
9,lasso,leave_one_group_out,rmse,1.1829590170171158,completed,,0.5958968430806911,1.0171598264760355,1.1829590170171158
10,elastic_net,leave_one_group_out,rmse,1.2422752631335086,completed,,0.5559399581673751,1.0691989272399407,1.2422752631335086
11,dummy,leave_one_group_out,rmse,2.221037980937922,completed,,-0.4160755332650034,1.8970896780303033,2.221037980937922
